"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT038965","hsa","hsa","hsa-miR-21-3p","SUV420H1","0","0","0","0","1","0","0","0","1","1"
"MIRT038966","hsa","hsa","hsa-miR-21-3p","MED25","0","0","0","0","1","0","0","0","1","1"
"MIRT054113","hsa","hsa","hsa-miR-21-3p","CLIP4","0","0","0","1","0","0","0","0","1","1"
"MIRT080796","hsa","hsa","hsa-miR-21-3p","SH3GLB1","0","0","0","0","1","0","0","1","2","4"
"MIRT099724","hsa","hsa","hsa-miR-21-3p","SOX4","0","0","0","0","1","0","0","1","2","2"
"MIRT122130","hsa","hsa","hsa-miR-21-3p","SREK1IP1","0","0","0","0","1","0","0","1","2","2"
"MIRT254913","hsa","hsa","hsa-miR-21-3p","LCLAT1","0","0","0","0","1","0","0","1","2","2"
"MIRT320232","hsa","hsa","hsa-miR-21-3p","CYCS","0","0","0","0","1","0","0","1","2","2"
"MIRT437430","hsa","hsa","hsa-miR-21-3p","MAT2B","1","1","1","1","0","0","0","0","4","1"
"MIRT437431","hsa","hsa","hsa-miR-21-3p","MAT2A","1","1","1","1","0","0","0","0","4","1"
"MIRT438623","rno","rno","hsa-miR-21-3p","Sorbs2","1","1","1","0","1","0","0","0","4","1"
"MIRT441806","hsa","hsa","hsa-miR-21-3p","NOC3L","0","0","0","0","1","0","0","1","2","2"
"MIRT442222","hsa","hsa","hsa-miR-21-3p","AGAP1","0","0","0","0","1","0","0","1","2","6"
"MIRT444930","hsa","hsa","hsa-miR-21-3p","NCAM2","0","0","0","0","1","0","0","1","2","2"
"MIRT453529","hsa","hsa","hsa-miR-21-3p","C14orf144","0","0","0","0","1","0","0","1","2","2"
"MIRT455034","hsa","hsa","hsa-miR-21-3p","UBA1","0","0","0","0","1","0","0","1","2","2"
"MIRT463092","hsa","hsa","hsa-miR-21-3p","ZNF618","0","0","0","0","1","0","0","1","2","2"
"MIRT468207","hsa","hsa","hsa-miR-21-3p","SGK1","0","0","0","0","1","0","0","1","2","2"
"MIRT479386","hsa","hsa","hsa-miR-21-3p","CELF1","0","0","0","0","1","0","0","1","2","6"
"MIRT479799","hsa","hsa","hsa-miR-21-3p","CCND1","0","0","0","0","1","0","0","1","2","2"
"MIRT480319","hsa","hsa","hsa-miR-21-3p","C5orf51","0","0","0","0","1","0","0","1","2","2"
"MIRT494641","hsa","hsa","hsa-miR-21-3p","ARNTL","0","0","0","0","1","0","0","1","2","2"
